Title,Description
1090,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.
1146,Lightweight butted aluminum frame provides a more upright riding position for a trip around town.  Our ground-breaking design provides optimum comfort.
1182,The HL aluminum frame is custom-shaped for both good looks and strength; it will withstand the most rigorous challenges of daily riding. Men's version.
1183,Affordable light for safe night riding - uses 3 AAA batteries
1185,Aluminum cage is lighter than our mountain version; perfect for long distance trips.
1186,AWC logo water bottle - holds 30 oz; leak-proof.
1187,"Carries 4 bikes securely; steel construction, fits 2"" receiver hitch."
1188,Clip-on fenders fit most mountain bikes.
1189,Combination of natural and synthetic fibers stays dry and provides just the right cushioning.
1191,Designed for convenience. Fits in your pocket. Aluminum barrel. 160psi rated.
1192,"Designed for the AWC team with stay-put straps, moisture-control, chamois padding, and leg grippers."
1193,"Durable, water-proof nylon construction with easy access. Large enough for weekend trips."
1194,"Full padding, improved finger flex, durable palm, adjustable closure."
1195,"Synthetic palm, flexible knuckles, breathable mesh upper. Worn by the AWC team riders."
1196,"Heavy duty, abrasion-resistant shorts feature seamless, lycra inner shorts with anti-bacterial chamois for comfort."
1197,"Includes 8 different size patches, glue and sandpaper."
1199,"Light-weight, wind-resistant, packs to fit into a pocket."
1200,Men's 8-panel racing shorts - lycra with an elastic waistband and leg grippers.
1201,Perfect all-purpose bike stand for working on your bike at home. Quick-adjusting clamps and steel construction.
1202,Rechargeable dual-beam headlight.
1203,Rugged weatherproof headlight.
1205,"Short sleeve classic breathable jersey with superior moisture control, front zipper, and 3 back pockets."
1206,Simple and light-weight. Emergency patches stored in handle.
1208,"Thin, lightweight and durable with cuffs that stay up."
1209,Tough aluminum cage holds bottle securly on tough terrain.
1210,Traditional style with a flip-up brim; one-size fits all.
1211,Unisex long-sleeve AWC logo microfiber cycling jersey
1212,"Universal fit, well-vented, lightweight , snap-on visor."
1213,"Versatile 70 oz hydration pack offers extra storage, easy-fill access, and a waist belt."
1214,Warm spandex tights for winter riding; seamless chamois construction eliminates pressure points.
1215,"Washes off the toughest road grime; dissolves grease, environmentally safe. 1-liter bottle."
1216,"Wraps to fit front and rear tires, carrier and 2 keys included."
1360,الفولاذ الكرومولي
1361,فناجين من سبيكة الألومنيوم؛ ذات محور دوران كبير القطر.
1362,فناجين من سبيكة الألومنيوم ومحور أجوف.
1363,ملائمة لأي نوع من أنواع القيادة، سواءً على الطرق الممهدة أو غير الممهدة. وتناسب أية ميزانية. نقل سرعات سلس مع قيادة مريحة.
1364,توفر هذه الدراجة مستوى عاليًا من الأداء في حدود ميزانية معينة. فهي تتميز بسرعة الاستجابة وإمكانية القيام بمناورات، هذا بالإضافة إلى إمكاناتها الفائقة التي تمنح الثقة في القيادة على الطرق غير الممهدة.
1365,لعاشقي قيادة الدراجات في الممرات غير الممهدة. دراجة شديدة التحمل يمكنك الانطلاق بها إلى أي مكان بما توفره لك من تحكم على الطرق الوعرة، كل هذا دون أن تتجاوز ميزانيتك.
1366,لقيادة المحترفين في المناطق الريفية. دراجة مُثلى لجميع مستويات المنافسة. تستخدم نفس هيكل HL Frame المستخدم في طراز Mountain-100.
1367,دراجة سباقات مخصصة للقيادة في الجبال من أعلى طراز. تتضمن خيارات تحسين الأداء هيكل HL Frame الإبداعي، والتعليق الأمامي ذي السلاسة الفائقة، وقوة الجر المناسبة لجميع أنواع الأراضي.
1368,مناسبة لجميع أنواع الرحلات على الطرق غير الممهدة. تناسب أية ميزانية.
1369,إنها دراجة مناسبة للمبتدئين من البالغين؛ فهي توفر قيادة مريحة سواءً على الطرق الوعرة أو في ساحة المدينة. يتميز محورا العجلتين وإطاريهما المعدنيين بسرعة التفكيك.
1370,إنها دراجة ذات سعر مناسب لإمكاناتها كما تتمتع بالعديد من مزايا أعلى طرازات دراجاتنا. إنها تتمتع أيضًا بما نشتهر به من هيكل خفيف وصلب، وسرعة في التسارع.
1371,ولها نفس التقنية المتوفرة في جميع دراجات سلسلة الطريق لدينا، ولكن هيكل الدراجة قد تم تغيير حجمه ليناسب القيادة النسائية. إنها دراجة مثالية تصلح للعديد من الأغراض، وتناسب القيادة على الطرق العادية أو القيادة في السباقات.
1372,ولها نفس التقنية المتوفرة في جميع دراجات سلسلة الطريق لدينا. إنها دراجة مثالية متعددة الأغراض، تناسب القيادة على الطرق العادية أو القيادة في السباقات.
1373,إنها دراجة تصلح للعديد من الرياضات وهي مصممة لتوفير أقصى فعالية للقيادة، كما تتميز بتصميم ابتكاري. يتيح لك تصميمها الديناميكي الهوائي إمكانية القيادة مع المحترفين، حيث إنها مزودة بتروس يمكنها الانطلاق داخل الطرق المرتفعة شديدة الانحدار.
1374,يمكنك باستخدام هذه الدراجة الأنيقة التي تتميز بخاصية الديناميكية الهوائية التدرب على مهارات مختلفة أو التسابق أو مجرد المشاركة في نشاط اجتماعي. وتوفر لك تقنية المقاعد المتقدمة الراحة طوال اليوم.
1375,يمكنكِ باستخدام هذه الدراجة الأنيقة التي تتميز بخاصية الديناميكية الهوائية والمصممة للنساء التدرب على مهارات مختلفة أو التسابق أو مجرد المشاركة في نشاط اجتماعي. وتوفر لكِ تقنية المقاعد المتقدمة الراحة طوال اليوم.
1376,يوفر الهيكل المصنوع من سبيكة ألومنيوم قيادة قوية وخفيفة الحركة في نفس الوقت، سواءً كنت تتسابق في حلبة سباق دراجات أو في سباق يتطلب مهارات خاصة ـ بأحد النوادي ـ داخل طرقات ريفية.
1377,إنها الدراجة التي يقودها الفائزون بسباقات الدراجات. ونظرًا لأنه تم تطويرها عن طريق فريق سباق المحترفين Adventure Works Cycles، فقد تم تصميم هيكلها من الألومنيوم الخفيف المُعالج حراريًا، وتم تزويدها بنظام قيادة يسمح بالتحكم الدقيق في الدراجة.
1378,إنها دراجة قيّمة تصلح لكافة المناسبات وهي تشتمل على ميزات الراحة والأمان الأساسية في منتجاتنا. وهي تتميز بإطارات أعرض وأكثر توازنًا من غيرها بما يلائم القيادة في أرجاء البلدة أو أثناء رحلات العطلات الأسبوعية.
1379,إن مقعد الدراجة المخصص المصنوع من نسيج البلش يجعلك لا تمل أبدًا من القيادة طوال اليوم، كما يوفر لك حامل الدراجة بتصميمه المحدّث مساحة كبيرة تستوعب أكثر من سلة وشنطة على الدراجة. وتحتفظ هذه الدراجة بتوازنها حتى عند تحميلها بالكامل.
1380,عجلة احتياطية خلفية مخصصة للقيادة في الجبال تناسب جميع الراكبين بدءًا من الراكب العادي إلى الراكب المحترف.
1381,إطاران معدنيان شديدا القوة يضمنان قوة التحمل.
1382,عجلة خلفية بديلة لراكبي الدراجات المبتدئين.
1383,إطار معدني مصنوع من سبيكة الألومنيوم بقضبان شعاعية من الفولاذ الذي لا يصدأ، مصمم لزيادة السرعة.
1384,عجلة خلفية قوية بإطار معدني ذي طبقتين.
1385,إطاران معدنيان ممتازان يتميزان بخاصية الديناميكية الهوائية لضمان القيادة السلسلة.
1386,جلد صناعي. تحتوي على مواد جيلاتينية لتوفير مزيد من الراحة.
1387,الاستمتاع بالمظهر الأنيق والراحة عند السفر. لقد تم تصميم هذه الدراجة لتوفير أقصى درجات الراحة والأمان. يتيح لك النطاق الواسع من التروس إمكانية القيادة فوق كافة أنواع المرتفعات. توفر تركيبة سبيكة الألومنيوم عالية التقنية قوة تحمّل دون وزن إضافي.
1388,أداء فائق في نقل السرعات.
1389,محور دوران صلب فائق الأداء.
1390,ذراع تدوير شديد القوة.
1391,مجموعة تدوير ثلاثية، وذراع تدوير ألومنيوم، وإمكانية نقل سرعات دون حدوث أخطاء.
1392,تحتوي على بطانات (تيل) فرامل، تناسب كافة الظروف الجوية، مما يتيح إمكانية إيقاف فائقة وذلك بتطبيق مساحة أكبر من سطح الفرامل على الإطار المعدني.
1393,تصميم عريض الوصلات.
1394,تصميم قوي يمتص الصدمات ويوفر قيادة أكثر دقة.
1395,شوكة طريق ماسكة للعجلة الأمامية مركبة ذات عمود توجيه مصنوع من الألومنيوم.
1396,شوكة طريق ماسكة للعجلة الأمامية من الكربون عالية الأداء ذات شعبتين مقوسين.
1397,إنها تأتي ضمن أفضل منتجاتنا فنيًا حيث تستخدم نفس تقنية الهيكل الابتكارية المستخدمة في هيكل ML المصنوع من الألومنيوم.
1398,إن هيكل ML هو هيكل مصنوع من الألومنيوم مُعالج حراريًا ومصمم بنفس تفاصيل وجودة هيكل HL الخاص بنا. وهو يوفر أداءً فائقًا. الطراز الرجالي.
1399,إن هيكل ML هو هيكل مصنوع من الألومنيوم مُعالج حراريًا ومصمم بنفس تفاصيل وجودة هيكل HL الخاص بنا. وهو يوفر أداءً فائقًا. الطراز النسائي.
1400,وقد تم تصنيع كل هيكل من تلك الهياكل يدويًا في مصنعنا بمدينة Bothel بحيث يصل اتساع قطره وسمكه إلى أفضل قيمتين مطلوبتين لهيكل دراجة مخصصة للقيادة في الجبال من الدرجة الأولى. ويتميز هيكل الألومنيوم الملحوم والُمعالج حراريًا بأنبوبة ذات قطر كبير يمتص الصدمات.
1401,يحتوي هيكل ML على أنبوبة سفلية خفيف الوزن تم تشكيلها بحيث تحتوي على أفضل قطر يوفر أعلى درجات القوة، وقد تم صناعتها من نفس سبيكة الألومنيوم التي تم صناعة هيكل HL - الذي يعد من أعلى طرازاتنا - منها. الطراز النسائي.
1402,عجلة احتياطية مخصصة للقيادة في الجبال لراكبي الدراجات المبتدئين.
1403,عجلة احتياطية مخصصة للقيادة في الجبال تناسب كافة أنواع الركاب بدءًا من الراكب العادي إلى الراكب المحترف.
1404,عجلة احتياطية مخصصة للقيادة في الجبال عالية الأداء.
1405,عجلة طريق أمامية بديلة لقائدي الدراجات المبتدئين.
1406,تتميز بوجود سبيكة قوية تحتوي على محور عجلة سريع التفكيك.
1407,عجلة قوية بإطار معدني ذي طبقتين.
1408,توفر خاصية الديناميكية الهوائية للإطارين المعدنيين قيادة سلسة.
1409,قضيب قيادة ملائم لكافة الأغراض على الطرق الممهدة وغير الممهدة.
1410,قضبان قيادة قوية من سبيكة الألومنيوم لتحمّل القيادة فوق المنحدرات.
1411,قضيب قيادة مسطح وقوي بدرجة كافية لجولات المحترفين.
1412,شكل فريد يوفر وصولاً أسهل إلى تروس التحكم في السرعة.
1413,قضيب قيادة أنبوبي الشكل مصنوع من الألومنيوم ومشكّل بطريقة تتكيف مع بنية الراكب الجسمية ويناسب جميع الرّكاب.
1414,أحدث قضيب قيادة مشكّل بطريقة تتكيف مع بنية الراكب الجسمية وهو مصنوع من سبيكة ألومنيوم، ومصمم للمتسابقين.
1415,شكل فريد يقلل عناء القيادة على الركاب المبتدئين.
1416,قضيب قيادة مصنوع من الألومنيوم خفيف الوزن ولكنه قوي يتحمل القيادة لمسافات طويلة.
1417,توفر الوصلة غير الملولبة بين الشوكة الماسكة للعجلة الأمامية وبقية هيكل الدراجة الجودة المطلوبة وبسعر اقتصادي.
1418,تمنع الخرطوشة محكمة الإغلاق الأوساخ من الدخول.
1419,وصلة غير ملولبة بين الشوكة الماسكة للعجلة الأمامية وبقية هيكل الدراجة بمساحة 1 بوصة ذات جودة عالية مزودة بمنفذ تشحيم لإجراء التشحيم بشكل سريع.
1420,هيكل أساسي واسع بحيث يمكنك القيادة بأي حذاء، وهذا أمر رائع للقيادة متعددة الأغراض.
1421,دواسة خفيفة الوزن شديدة التحمّل بلا مشابك وذات قوة شدّ يمكن تعديلها.
1422,مصنوعة من الفولاذ الذي لا يصدأ، والذي تم تصميمه لإزالة الطين بسهولة.
1423,دواستان بلا مشابك مصنوعتان من الألومنيوم.
1424,تركيبة سبيكة ألومنيوم خفيفة الوزن.
1425,دواستان من أعلى الطرازات بقوة شدّ يمكن تعديلها.
1426,دواسة ثابتة ومتوازنة للقيادة طوال اليوم.
1427,أحذية قيادة دراجات؛ كماشات فرامل مصنوعة من الألومنيوم ومصقولة.
1429,ناقل سرعات مصنوع من الألومنيوم ذو عشر سرعات مع محامل بكرات مغلقة.
1430,عجلة احتياطية خلفية مخصصة للقيادة في الجبال للراكبين المبتدئين.
1431,مصممة لامتصاص الصدمات.
1432,تصميم يتناسب مع بنية الراكب الجسمية لتوفير قيادة مريحة طوال اليوم. جلد شديد التحمل.
1433,مقعد خفيف الوزن ذو حشو رغوي.
1434,مصدات مطاطية تمتص الصدمات.
1435,مقعد سباق خفيف الوزن مصنوع من مادة كيفلار. جلد.
1436,مقعد جيلاتيني مصمم بشكل يتناسب مع حركة الجسم.
1437,تصميم جديد لتخفيف الضغط عند القيادة لفترات طويلة.
1438,هيكل خارجي تم تصميمه لتوفير مزيد من الراحة أثناء القيادة.
1439,قوة جر تضاهي أحدث الطرازات، غطاء حافة بارزة مطاطي منخفض الثمن.
1440,قوة جر كبيرة، مطاط عالي الكثافة.
1441,قوة جر هائلة، كربون مقوى خفيف الوزن.
1442,السطح الخارجي للإطار بنفس جودة أسطح الإطارات الخارجية الأغلى ثمنًا، ولكنه مزود بغطاء حافة بارزة مطاطي أقل سعرًا.
1443,مطاط أعلى كثافة من الطرازات الأخرى.
1444,كربون مقوى خفيف الوزن لقيادة منقطعة النظير مع تحمل أوزان مرتفعة.
1445,مطاط عالي الكثافة.
1446,أنبوبة ذاتية القفل.
1447,أنبوبة تقليدية تناسب كافة الأغراض.
1448,أنبوبة متعددة الأغراض.
1449,يوفر الهيكل LL Frame قيادة آمنة ومريحة، مع توفير إمكانية فائقة لامتصاص الصدمات في هيكل من الألومنيوم جيد السعر بالنسبة لإمكاناته.
1450,يحتوي هيكل ML على أنبوبة سفلية خفيفة الوزن تم تشكيلها بحيث تحتوي على أفضل قطر يوفر أعلى درجات القوة، وقد تم صناعتها من نفس سبيكة الألومنيوم التي تم صناعة هيكل HL - الذي يعد من أعلى طرازاتنا - منها. الطراز الرجالي.
1451,لقد تم صناعة هيكل دراجتنا الألومنيوم الأخف وزنًا والأعلى جودة، من أحدث السبائك المتوفرة، وتم لحامه ومعالجته حراريًا لزيادة قوته. ويوفر تصميمنا الإبداعي أقصى درجات الراحة والأداء.
1452,يوفر هيكل الألومنيوم سميك الأطراف خفيف الوزن وضع قيادة أكثر انتصابًا أثناء القيام برحلات في أرجاء البلدة. يوفر تصميمنا الابتكاري أعلى درجات الراحة.
1453,وقد تم تخصيص شكل هيكل HL المصنوع من الألومنيوم لتوفير كل من جمال الشكل والقوة، كما أن بإمكانه مواجهة أصعب تحديات القيادة اليومية. الطراز الرجالي.
1454,إضاءة ذات سعر منخفض للقيادة بشكل آمن ليلاً، تستخدم 3 بطاريات AAA.
1455,هيكل قفصي من الألومنيوم أخف من مثيله في طرازنا المخصص للقيادة في الجبال، وهو مثالي في الرحلات ذات المسافات الطويلة.
1456,زجاجة مياه تحمل شعار AWC تستوعب 840 غرامًا من المياه، وهي مضادة للتسرب.
1457,يحمل 4 دراجات بشكل آمن، ذو بنية فولاذية، ويناسب عقدة تعليق بمساحة 2 بوصة.
1458,رفارف مثبتة بمشابك تلائم معظم الدراجات المخصصة للقيادة في الجبال.
1459,تركيبة من الفيبر الطبيعي والصناعي تظل محتفظة بجفافها وتعمل كوسائد ملائمة.
1460,مصممة لتوفير الراحة التامة. تلائم حجم الجيب. ماسورة من الألومنيوم. بمعدل رطل في البوصة المربعة.
1461,مصممة لفريق AWC مع أشرطة ثابتة، وتحكم في الرطوبة، وحشو شمواة، وماسكات للرجلين.
1462,تركيبة نيلون شديدة التحمل مضادة للماء يمكن الوصول إليها بسهولة. واسعة بدرجة كافية لرحلات عطلة نهاية الأسبوع.
1463,قفاز يد ذو حشوة كاملة، وثنية أصابع محسنة، وغطاء قوي لراحة اليد، كما يمكن تعديل مكان إغلاقه.
1464,قفاز ذو راحة يد صناعية، ومفاصل أصابع مرنة، وفتحات علوية تسمح بمرور الهواء. يرتديه راكبو دراجات فريق AWC.
1465,قمصان شديدة التحمل مقاومة للاحتكاكات تحتوي على قمصان داخلية أخرى خالية من الفتحات مصنوعة من قماش سباندكس ومبطنة بشمواة مضاد للبكتريا لتوفير الراحة.
1466,تشمل 8 رقع لصق مختلفة الحجم، ومادة غروية لاصقة، وورق سنفرة.
1467,علب خفيفة الوزن، ومقاومة للريح، تناسب حجم الجيب.
1468,قمصان سباق رجالي ذات ثمانية أقسام، من قماش سباندكس وذات حزام مرن وماسكات للرجلين.
1469,حامل دراجة ممتاز متعدد الأغراض يلائم صيانة دراجتك بالمنزل. قوامط سريعة الضبط وتركيبة فولاذية.
1470,مصباح أمامي مزدوج الإضاءة قابل لإعادة الشحن.
1471,مصباح أمامي قوي مضاد للظروف الجوية.
1472,قميص صوفي قصير الأكمام كلاسيكي يسمح بمرور الهواء خلاله مع تحكم فائق في الرطوبة، مزود بزمام منزلق أمامي، وثلاثة جيوب خلفية.
1473,بسيطة وخفيفة الوزن. رقع لصق للطوارئ مخزنة في قضيب القيادة.
1474,رفيعة وخفيفة الوزن وشديدة التحمل ذات أكمام تظل ثابتة.
1475,هيكل قفصي من الألومنيوم يُثبت الزجاجة بإحكام أثناء القيادة على الأراضي الوعرة.
1476,نمط تقليدي ذو حافة قابلة للانقلاب لأعلى، بحجم واحد يلائم الجميع.
1477,قميص صوفي موحد للجنسين بأكمام طويلة للتسابق مصنوع من المايكروفيبر يحمل شعار AWC.
1478,ملائمة بشكل عام، وجيدة التهوية، وخفيفة الوزن بقناع واق من الشمس مزود بخاصية الالتصاق التلقائي.
1479,شنطة ظهر مائية متعددة الأغراض والاستعمالات تزن 1.960 كيلوجرام وتوفر مساحة تخزين إضافية، وإمكانية تعبئة سهلة، مع حزام وسط.
1480,تساعد الرداءات المحكمة المصنوعة من الاسباندكس المخصصة للقيادة في فصل الشتاء، مع تركيبة الشمواة الانسيابية على التخلص من مواضع الضغط.
1481,يمكنها إزالة أصعب أوساخ الطريق، وإذابة المواد الزيتية، كما أنها آمنة بيئيًا. زجاجة بسعة لتر واحد.
1482,أغلفة تناسب الإطارين الأمامي والخلفي، وتشمل حاملاً ومفتاحين.
1484,Acier chromé.
1485,Cuvettes en alliage d'aluminium ; axe de grand diamètre.
1486,Cuvettes en alliage d'aluminium et axe creux.
1487,"Adapté à tous les usages, sur route ou tout-terrain. Pour toutes les bourses. Changement de braquet en douceur et conduite confortable."
1488,"Ce vélo offre un excellent rapport qualité-prix. Vif et facile à manœuvrer, il se conduit en toute tranquillité sur les chemins et les sentiers."
1489,"Pour les véritables passionnés du VTT. Un vélo extrêmement robuste qui vous permettra d'aller partout, même sur les terrains difficiles, pour un budget raisonnable."
1490,Conduite sur terrains très accidentés. Idéal pour tous les niveaux de compétition. Utilise le même cadre HL que le Montain-100.
1491,"VTT de compétition haut de gamme. Plusieurs options d'amélioration des performances : cadre HL, suspension avant particulièrement souple et traction adaptée à tous les terrains."
1492,Adapté à tous les terrains. Pour toutes les bourses.
1493,Vélo d'adulte d'entrée de gamme ; permet une conduite confortable en ville ou sur les chemins de campagne. Moyeux et rayons à blocage rapide.
1494,"Vélo très séduisant comportant de nombreuses caractéristiques des modèles haut de gamme. Bénéficie du cadre léger et rigide, mais aussi de la ligne performante qui ont fait notre réputation."
1495,"Équipé de la même technologie que tous nos vélos de route, avec un cadre femmes. Idéal pour la promenade ou la course sur route."
1496,Équipé de la même technologie que tous nos vélos de route. Idéal pour la promenade ou la course sur route.
1497,"Un véritable vélo multi-sports, qui offre une conduite optimisée et une ligne révolutionnaire. Sa ligne aérodynamique vous permet de l'utiliser en course et ses vitesses de gravir les cols."
1498,"VTT, course ou promenade entre amis sur un vélo aérodynamique et léger. Bénéficie d'un système de selle perfectionné qui offre un confort optimal."
1499,"Tout terrain, course ou promenade entre amis sur un vélo aérodynamique et léger (cadre femmes). Bénéficie d'un système de selle perfectionné qui offre un confort optimal."
1500,"Cadre en alliage d'aluminium qui offre une conduite légère et rapide, sur pistes ou sur routes de campagne."
1501,"Ce vélo est destiné aux champions cyclistes. Mis au point par une équipe cycliste professionnelle, ce vélo possède un cadre en aluminium traité à chaud extrêmement léger et un guidon qui permet une conduite très précise."
1502,"Vélo de qualité pour tous usages, doté d'un bon niveau de confort et de sécurité. Présente des pneus plus larges et plus stables pour les sorties en ville ou les randonnées du week-end."
1503,La selle rembourrée offre un confort optimal. Le porte-bagages nouvellement remanié offre diverses possibilités d'ajout de paniers ou de sacoches. Ce vélo reste parfaitement stable une fois chargé.
1504,"Voyagez confortablement et avec élégance. Confort et sécurité maximum. Large éventail de vitesses pour gravir toutes les côtes. Sa fabrication en alliage d'aluminium haute technologie est synonyme de robustesse, sans ajout de poids."
1505,Système de changement de vitesse très performant.
1506,Axe très rigide.
1507,Manivelle haute résistance.
1508,Pédalier triple plateaux ; manivelle en aluminium ; changement de braquet impeccable.
1509,Patins de freinage pour tous les temps ; freinage renforcé par l'application d'une plus grande surface sur la jante.
1510,Conception liaison large.
1511,Conception robuste permettant d'absorber les chocs et d'offrir une conduite plus précise.
1512,Fourche composite pour route avec tube de direction en aluminium.
1513,Fourche pour route en carbone hautes performances avec bras incurvés.
1514,Utilise la même technologie de cadre que celle adoptée sur le cadre en aluminium ML.
1515,Le cadre ML est un cadre en aluminium traité à chaud fabriqué avec le même niveau de détail et de qualité que notre cadre HL. Il offre des performances exceptionnelles. Version hommes.
1516,Le cadre ML est un cadre en aluminium traité à chaud fabriqué avec le même niveau de détail et de qualité que notre cadre HL. Il offre des performances exceptionnelles. Version femmes.
1517,"Doté du même alliage en aluminium que notre cadre HL haut de gamme, le ML possède un tube léger dont le diamètre est prévu pour offrir une résistance optimale. Version femmes."
1518,Roue de secours tout-terrain pour vététiste occasionnel.
1519,Roue de secours tout-terrain pour vététiste amateur à confirmé.
1520,Roue de secours tout-terrain hautes performances.
1521,Roue avant pour vélo de route pour cycliste occasionnel.
1522,Alliage robuste avec moyeu à blocage rapide.
1523,Roue solide avec jante double paroi.
1524,Jantes aérodynamiques pour conduite en souplesse.
1525,Barre d'appui tous usages pour conduite sur route ou tout-terrain.
1526,Barres d'appui en alliage d'aluminium solide pour descente.
1527,Barre d'appui plate suffisamment solide pour le circuit professionnel.
1528,Forme très réussie destinée à faciliter l'accès aux leviers.
1529,Barre d'appui avec tube en aluminium ergonomique pour répondre aux besoins de tous les cyclistes.
1530,Conçu pour la compétition ; barre d'appui ergonomique haut de gamme en alliage d'aluminium.
1531,Forme très réussie destinée à diminuer la fatigue des cyclistes occasionnels.
1532,Barre d'appui en aluminium légère et solide pour les longues randonnées.
1533,Jeu de direction de qualité sans filetage à un prix abordable.
1534,Boîtier de protection hermétique.
1535,"Jeu de direction sans filetage 2,54 cm de grande qualité avec un dispositif de lubrification rapide."
